Open,Close,High,Low,Volume,Date
2647.5,2608.5,2657.5,2581.5,,08/16/21
2653.5,2660,2660,2653.5,,08/15/21
2653.5,2653.5,2653.5,2653.5,,08/14/21
2635,2653.5,2667,2612.5,,08/13/21
2640,2631,2652,2622,,08/12/21
2653,2641,2665.5,2618.5,,08/11/21
2610,2650,2668.5,2599,,08/10/21
2638,2608,2641.5,2604.5,,08/09/21
2631,2632,2636.5,2631,,08/08/21
2631,2631,2631,2631,,08/07/21
2658,2631,2675,2629,,08/06/21
2653.5,2655,2672.5,2639.5,,08/05/21
2652,2654,2682,2648.5,,08/04/21
2686.5,2651.5,2709.5,2639.5,,08/03/21
2669.5,2685,2698,2658.5,,08/02/21
2663,2663,2663,2663,,08/01/21
2663,2663,2663,2663,,07/31/21
2650.5,2663,2669,2630.5,,07/30/21
2628.5,2649.5,2679,2627.5,,07/29/21
2602,2625.5,2636.5,2601,,07/28/21
2658.5,2609,2673.5,2593,,07/27/21
2682.5,2663,2710,2658.5,,07/26/21
2675.5,2683,2684,2675.5,,07/25/21
2675.5,2675.5,2675.5,2675.5,,07/24/21
2732,2675.5,2740.5,2651,,07/23/21
2664,2723.5,2734,2659,,07/22/21
2643,2662.5,2678.5,2634.5,,07/21/21
2599,2644,2656,2572.5,,07/20/21
2633,2596,2651.5,2576.5,,07/19/21
2632.5,2629,2632.5,2626.5,,07/18/21
2733,2632.5,2753,2617,,07/16/21
2827.5,2732.5,2832,2700,,07/15/21
2834,2829,2847.5,2798.5,,07/14/21
2851,2831,2859,2828,,07/13/21
2810,2857.5,2867,2790.5,,07/12/21
2812,2813,2813,2812,,07/11/21
2812,2812,2812,2812,,07/10/21
2794.5,2812,2821.5,2791.5,,07/09/21
2854,2803.5,2861,2782,,07/08/21
2793,2851,2869.5,2769.5,,07/07/21
2820,2795.5,2881,2767.5,,07/06/21
2799,2818,2821.5,2791,,07/05/21
2787.5,2787.5,2787.5,2787.5,,07/03/21
2758,2787.5,2810,2756.5,,07/02/21
2785,2768,2797.5,2752.5,,07/01/21
2685,2784.5,2792,2671.5,,06/30/21
2693.5,2684.5,2701,2665.5,,06/29/21
2647,2692.5,2701.5,2633,,06/28/21
2643.5,2643.5,2643.5,2643.5,,06/27/21
2647.5,2643.5,2663.5,2616.5,,06/25/21
2618,2648,2657,2608,,06/24/21
2555.5,2616,2636,2548.5,,06/23/21
2583,2560.5,2607.5,2549.5,,06/22/21
2475.5,2581.5,2588.5,2468.5,,06/21/21
2466.5,2466.5,2466.5,2466.5,,06/20/21
2492,2468.5,2592.5,2454.5,,06/18/21
2800.5,2490,2811,2490,,06/17/21
2765.5,2804,2844,2759,,06/16/21
2756.5,2767,2769.5,2742.5,,06/15/21
2781,2758,2783.5,2748.5,,06/14/21
2778.5,2778.5,2778.5,2778.5,,06/12/21
2773,2778.5,2812.5,2764.5,,06/11/21
2774,2775,2785,2741,,06/10/21
2809.5,2777,2821,2769,,06/09/21
2834.5,2811.5,2847.5,2756,,06/08/21
2840.5,2837.5,2847,2824,,06/07/21
2847.5,2838.5,2847.5,2838.5,,06/06/21
2847.5,2847.5,2847.5,2847.5,,06/05/21
2842.5,2847.5,2847.5,2812,,06/04/21
2857.5,2839,2870,2796,,06/03/21
2866,2859.5,2871,2834,,06/02/21
2833.5,2863,2870.5,2816,,06/01/21
2828,2835,2853.5,2822,,05/31/21
2828,2828,2828,2828,,05/30/21
2810.5,2828,2838.5,2786,,05/28/21
2745,2809,2837.5,2739,,05/27/21
2776.5,2748.5,2809,2739.5,,05/26/21
2733,2773,2792,2732.5,,05/25/21
2772,2729,2817,2722.5,,05/24/21
2778.5,2778.5,2778.5,2778.5,,05/23/21
2858,2778.5,2879,2767.5,,05/21/21
2871.5,2856.5,2899.5,2851.5,,05/20/21
2908,2870,2915,2849.5,,05/19/21
2905,2906,2944,2897,,05/18/21
2893.5,2905.5,2913,2884.5,,05/17/21
2895,2895,2895,2895,,05/16/21
2869,2895,2928,2865.5,,05/14/21
2862,2866,2907,2806.5,,05/13/21
2942,2859,2960,2854,,05/12/21
2961.5,2940,2986.5,2916.5,,05/11/21
2928,2964,3001.5,2926.5,,05/10/21
2927.5,2927.5,2927.5,2927.5,,05/09/21
2927.5,2927.5,2927.5,2927.5,,05/08/21
2949,2927.5,2967,2835.5,,05/07/21
2976.5,2951,2992.5,2912,,05/06/21
2989.5,2975.5,3011,2958.5,,05/05/21
2976.5,2986.5,3019.5,2965.5,,05/04/21
2941,2977.5,2997.5,2941,,05/03/21
2937,2937,2937,2937,,05/02/21
2937,2937,2937,2937,,05/01/21
2957,2937,3010.5,2934,,04/30/21
2939.5,2955,2977,2921.5,,04/29/21
2947,2933.5,2950,2899,,04/28/21
2921,2945,2965,2893,,04/27/21
2859,2932,2947.5,2847.5,,04/26/21
2859,2859,2859,2859,,04/25/21
2833.5,2859,2929,2833.5,,04/23/21
2877,2842.5,2892.5,2817,,04/22/21
2757.5,2877.5,2899.5,2757.5,,04/21/21
2807,2764.5,2819.5,2729.5,,04/20/21
2775.5,2816,2848,2764.5,,04/19/21
2786,2786,2786,2786,,04/18/21
2780,2780,2780,2780,,04/17/21
2747,2780,2788,2735,,04/16/21
2682,2742.5,2759.5,2682,,04/15/21
2701.5,2681,2705,2673.5,,04/14/21
2682.5,2697.5,2712,2676.5,,04/13/21
2638,2679.5,2686,2619.5,,04/12/21
2641,2641,2641,2641,,04/11/21
2641,2641,2641,2641,,04/10/21
2626.5,2641,2648.5,2619.5,,04/09/21
2623.5,2631,2651,2613,,04/08/21
2684,2625.5,2688.5,2594.5,,04/07/21
2667,2687,2702,2652.5,,04/06/21
2670,2665,2677,2625.5,,04/05/21
2669.5,2669.5,2669.5,2669.5,,04/04/21
2624.5,2669.5,2674.5,2617,,04/01/21
2588.5,2625,2636,2588.5,,03/31/21
2535,2592,2612,2528,,03/30/21
2680,2538.5,2683,2520.5,,03/29/21
2677.5,2683.5,2683.5,2677.5,,03/28/21
2625,2677.5,2683.5,2616,,03/26/21
2641,2625.5,2651.5,2607,,03/25/21
2609,2640.5,2649,2603.5,,03/24/21
2629.5,2608.5,2654.5,2577.5,,03/23/21
2620,2629,2660,2562,,03/22/21
2638.5,2620.5,2638.5,2619,,03/21/21
2638.5,2638.5,2638.5,2638.5,,03/20/21
2675.5,2638.5,2694,2603.5,,03/19/21
2596,2684.5,2757.5,2586.5,,03/18/21
2497,2594.5,2602.5,2460,,03/17/21
2393,2498.5,2524,2385.5,,03/16/21
2371,2392,2408,2349.5,,03/15/21
2376,2372,2390,2370.5,,03/14/21
2376,2376,2376,2376,,03/13/21
2351.5,2376,2381,2329.5,,03/12/21
2319,2355.5,2378,2304,,03/11/21
2302,2319,2319,2289.5,,03/10/21
2327,2305,2331.5,2277,,03/09/21
2346.5,2322,2367.5,2321,,03/08/21
2341,2340,2343.5,2340,,03/07/21
2344,2341,2377,2332.5,,03/05/21
2358.5,2346,2388.5,2340.5,,03/04/21
2376.5,2359,2390.5,2344,,03/03/21
2361,2375,2389.5,2345,,03/02/21
2334.5,2358.5,2394,2334.5,,03/01/21
2321,2321,2321,2321,,02/28/21
2406,2321,2441.5,2310,,02/26/21
2438.5,2408,2492,2408,,02/25/21
2356.5,2442.5,2445.5,2336.5,,02/24/21
2402,2353,2411.5,2305,,02/23/21
2416,2405.5,2434,2378.5,,02/22/21
2387,2387,2387,2387,,02/21/21
2363,2387,2388,2334,,02/19/21
2379,2358.5,2400.5,2341,,02/18/21
2399.5,2379,2399.5,2367,,02/17/21
2393.5,2397.5,2424.5,2365.5,,02/16/21
2393.5,2396.5,2418,2381.5,,02/15/21
2393,2396,2396,2393,,02/14/21
2393,2393,2393,2393,,02/13/21
2355.5,2393,2395,2347.5,,02/12/21
2368,2353.5,2379.5,2348,,02/11/21
2328.5,2370.5,2394,2323.5,,02/10/21
2341.5,2328,2359.5,2313,,02/09/21
2354,2343,2367,2333,,02/08/21
2352,2352,2352,2352,,02/07/21
2296,2352,2356.5,2293.5,,02/05/21
2283.5,2292,2303.5,2251.5,,02/04/21
2245,2282.5,2291,2237.5,,02/03/21
2252.5,2240,2281,2224,,02/02/21
2225.5,2254,2288,2225.5,,02/01/21
2232,2232,2232,2232,,01/31/21
2232,2232,2232,2232,,01/30/21
2342.5,2232,2367,2202.5,,01/29/21
2310.5,2340,2357,2286.5,,01/28/21
2328.5,2308,2331,2306,,01/27/21
2338.5,2325.5,2348.5,2315,,01/26/21
2367,2340,2382.5,2327.5,,01/25/21
2363,2363,2363,2363,,01/24/21
2363,2363,2363,2363,,01/23/21
2371.5,2363,2379.5,2352,,01/22/21
2379,2374,2413.5,2367.5,,01/21/21
2362,2378,2403.5,2347,,01/20/21
2374.5,2362,2391.5,2354,,01/19/21
2398,2378.5,2407.5,2365.5,,01/18/21
2393,2391.5,2393,2391.5,,01/17/21
2393,2393,2393,2393,,01/16/21
2413,2393,2464.5,2380.5,,01/15/21
2395,2417.5,2427,2377,,01/14/21
2401,2394.5,2408,2376.5,,01/13/21
2382.5,2403.5,2404,2369.5,,01/12/21
2374.5,2372.5,2400.5,2347.5,,01/11/21
2376,2376,2376,2376,,01/10/21
2422.5,2376,2446.5,2344,,01/08/21
2449,2425.5,2462.5,2405,,01/07/21
